FSCSKEY,district_geoid,weight
AL0169,0101710,1.0
AL8010,0102670,2.690613870595648e-13
AL8010,0101710,0.999999999999731
AL0025,0102790,1.0
AL0131,0103030,1.0
AL0135,0100007,4.209324253170297e-14
AL0135,0103030,0.00028361541224510006
AL0135,0100190,8.694820835449273e-14
AL0135,0100194,0.9997163845876259
AL0054,0100240,0.0114806048872745
AL0054,0101290,0.9885193951127256
AL0245,0101290,1.0
AL0045,0100930,8.731577643870415e-13
AL0045,0102610,0.9999999999991268
AL0124,0100006,7.84808962588014e-09
AL0124,0100100,0.9999756178454573
AL0124,0101020,2.4374306453056363e-05
AL0126,0100005,2.0399383342917643e-15
AL0126,0100006,8.74949249555919e-09
AL0126,0101690,0.9999999912505054
AL0018,0100780,1.0
AL0061,0100840,1.0
AL0060,0103000,1.6462288789799846e-13
AL0060,0102520,6.944563305727617e-14
AL0060,0103420,0.999999999999766
AL0160,0100840,1.0
AL0119,0101380,0.9999999999995028
AL0119,0103062,1.9479425261794818e-13
AL0119,0101620,3.023392878554636e-13
AL0121,0101200,0.9999999999989572
AL0121,0102250,1.0028417570751244e-12
AL0121,0101680,2.432430317213006e-14
AL0121,0101710,1.5710598540311357e-14
AL0024,0101230,6.424112520198659e-14
AL0024,0101740,0.9999999999997958
AL0024,0101770,1.398607904667785e-13
AL0078,0101730,0.8722915838216654
AL0078,0102480,0.1277084161783346
AL0239,0102480,1.0
AL0005,0103580,1.0
AL0006,0101720,0.989299388444368
AL0006,0102310,0.0107006115556319
AL0022,0101740,1.0
AL0141,0102730,1.0
AL0052,0102580,0.00030717797942660005
AL0052,0100210,0.9996290997248398
AL0052,0100600,1.1921761777702228e-14
AL0052,0102070,6.372229572172364e-05
AL0125,0100005,1.332831881869059e-13
AL0125,0100012,0.9999999999987336
AL0125,0101380,1.1331216295591764e-12
AL8008,0100006,0.0016042848819100002
AL8008,0100012,7.159409288724933e-13
AL8008,0101380,0.9983957151172907
AL8008,0101140,8.331422890824146e-14
AL0253,0102040,1.0
AL0159,0100420,1.0
AL0031,0101050,0.9999999999998846
AL0031,0101230,9.441075732350447e-14
AL0031,0101770,2.095280272202293e-14
AL0095,0101920,1.0
AL0096,0101920,1.0
AL0097,0100390,1.0581481186080937e-12
AL0097,0101920,1.3641139661687635e-08
AL0097,0101760,0.9999120710424604
AL0097,0102490,3.916552148380734e-14
AL0097,0103430,8.791531530265742e-05
AL0099,0100330,1.869539049395561e-13
AL0099,0100390,4.563621587356944e-14
AL0099,0101920,0.9999999999997674
AL0100,0100011,2.370014738206514e-13
AL0100,0100013,0.00032296319342810004
AL0100,0101920,0.9996770368061385
AL0100,0102490,1.053703609813631e-13
AL0100,0103430,9.105711141154314e-14
AL0012,0100750,1.0
AL0074,0101470,0.080504755294837
AL0074,0103540,0.8077173208018807
AL0074,0102310,0.1117779239032822
AL0118,0101380,2.7204048525830536e-12
AL0118,0100180,0.999999999997028
AL0118,0101620,2.515467275573894e-13
AL0032,0100001,0.0020756581410493
AL0032,0102640,1.934998078346688e-14
AL0032,0101050,0.9979243418589314
