GEOID,lat,lon
0640200,38.239691,-119.9825108
0601890,38.6860805,-122.7921333
0604380,38.3860196,-122.709672
0604650,38.3871023,-122.6349188
0608700,38.2560203,-122.665253
0611610,38.3152736,-122.7566419
0614010,38.4868279,-122.905617
0614130,38.5432919,-123.264374
0615840,38.3594194,-122.7840972
0617520,36.00925,-119.0599385
0621570,36.2661803,-119.3046943
0602220,36.0665653,-118.9410497
0621900,35.6017003,-118.7095301
0638340,36.218006,-119.2497859
0641820,36.1419296,-119.4964
0621420,33.9390259,-118.3575867
0607740,34.5312777,-118.6473073
0620880,34.7407704,-118.1219466
0602250,39.2246605,-120.7182112
0609300,39.1118328,-120.8779689
0603480,38.9388974,-121.1223412
0622560,38.8308414,-121.1617849
0630720,39.0091548,-120.9948566
0607410,39.7933185,-122.0946666
0620610,39.7770319,-122.1453584
0630870,39.7024117,-122.0932716
0615480,39.7340995,-121.4888872
0623700,39.3263017,-121.6638966
0629100,39.5567532,-121.3392037
0629540,39.3990524,-121.5447411
0630520,39.6733136,-121.3673265
0639180,39.534113,-121.6153454
0625980,38.6325316,-120.8440154
0632310,38.7194371,-121.0179532
0615450,38.7759673,-120.9268684
0636810,38.795329,-120.2639446
0606270,38.6462939,-120.9743723
0630780,38.7776727,-120.7544901
0631290,38.6993273,-120.2840549
0615390,38.6788598,-120.7170488
0621180,38.5695496,-120.9826546
0630480,38.6163803,-120.5283047
0618240,38.5661039,-120.5012152
0607170,38.8350844,-120.6310405
0600006,37.9933826,-122.5929459
0605520,37.9781311,-122.7922975
0611220,38.0284613,-122.5292675
0619380,37.9571528,-122.6012118
0620430,38.1751298,-122.7489997
0620520,38.0076912,-122.6721839
0620910,37.9241392,-122.4993659
0624870,37.8790586,-122.5685257
0627300,38.0928085,-122.7084807
0607200,37.2897082,-121.9557549
0622350,37.0937296,-121.8624197
0622830,37.1888286,-121.9379885
0620700,37.1978252,-122.072953
0626280,37.4140278,-122.0706785
0638460,37.3897355,-122.0247588
0614370,37.3018631,-121.843928
0625770,37.2963843,-121.9804551
0640320,37.2414681,-121.919863
0627810,37.2482478,-121.7921059
0613140,37.2942719,-121.7568524
0628680,37.383725,-121.9085623
0604800,37.3992787,-121.8480286
0626400,37.3502008,-121.7839531
0607140,37.2702291,-121.9324706
0623130,37.3228092,-121.9276067
0616570,40.4572236,-122.4218326
0618160,40.4444875,-122.751087
0619200,40.536096,-122.2525158
0624930,40.6006181,-122.0787811
0627040,40.9389489,-121.9274396
0627510,40.6101573,-122.1975408
0627870,40.7111975,-121.9633155
0629280,40.5089866,-122.2911698
0632040,40.5536366,-122.4015346
0636570,40.6462362,-122.4787757
0642420,40.6433146,-121.6495781
0642060,36.6883937,-119.8669665
0642210,36.3780687,-120.2206098
0639210,36.4369886,-118.671533
0632430,35.8291093,-119.1403932
0639300,36.0477094,-119.3136421
0636360,36.3612729,-119.0512622
0619740,36.5011241,-119.471305
0638430,36.1444776,-119.1458821
0639870,36.1727062,-119.3115364
0638130,36.1614452,-118.9866135
0603270,34.9995723,-118.7682384
0603630,35.422511,-118.8847781
0604260,35.4757194,-119.0693328
0605250,35.706991,-118.862428
0606390,35.3358857,-119.1256281
0606720,35.4165342,-119.5232976
0606960,35.3292652,-118.529113
0610890,35.700562,-119.0671672
0611130,35.2603233,-118.7797831
0611940,35.3376627,-118.8152006
0615600,34.7106484,-118.7563859
0642810,34.6271431,-117.7641827
0617880,34.6640856,-118.4971509
